2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | SR | get socket connection: 1
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | SR | (Server): free empty socket
2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:35 | Debug | SR | get socket connection: 1
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | SR | (Server): free empty socket
2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:35 | Debug | SR | get socket connection: 1
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | SR | (Server): free empty socket
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:35 | Debug | SR | get socket connection: 1
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | SR | (Server): free empty socket
2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:35 | Debug | SR | get socket connection: 1
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | SR | (Server): free empty socket
2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | SR | get socket connection: 1
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | SR | (Server): free empty socket
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:35 | Debug | SR | get socket connection: 1
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | SR | (Server): free empty socket
2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:35 | Debug | SR | get socket connection: 1
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | SR | (Server): free empty socket
2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | SR | get socket connection: 1
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | SR | (Server): free empty socket
2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Debug | SR | get socket connection: 1
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | SR | (Server): free empty socket
2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | SR | get socket connection: 1
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | SR | (Server): free empty socket
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Debug | SR | get socket connection: 1
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | SR | (Server): free empty socket
2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | SR | get socket connection: 1
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | SR | (Server): free empty socket
2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | SR | get socket connection: 1
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | SR | (Server): free empty socket
2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Debug | SR | get socket connection: 1
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | SR | (Server): free empty socket
2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | SR | get socket connection: 1
2021-01-24 17:31:35 | Debug | SR | (Server): free empty socket
2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | SR | get socket connection: 1
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | SR | (Server): free empty socket
2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:35 | Debug | SR | get socket connection: 1
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Debug | SR | get socket connection: 2
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | SR | get socket connection: 3
2021-01-24 17:31:35 | Debug | SR | get socket connection: 3
2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:35 | Debug | SR | get socket connection: 3
2021-01-24 17:31:35 | Debug | SR | get socket connection: 3
2021-01-24 17:31:35 | Debug | SR | get socket connection: 3
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | SR | (Server): free empty socket
2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Debug | SR | (Server): free empty socket
2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | SR | get socket connection: 1
2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:35 | Debug | SR | (Server): free empty socket
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Debug | SR | get socket connection: 1
2021-01-24 17:31:35 | Debug | SR | get socket connection: 1
2021-01-24 17:31:35 | Error | CL | (Client) recv failed
2021-01-24 17:31:35 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:31:35 | Debug | CL | (Client) connect success 
2021-01-24 17:31:35 | Debug | SR | get socket connection: 2
2021-01-24 17:31:35 | Debug | SR | (Server): free empty socket
2021-01-24 17:31:35 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): free empty socket
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | FD | (DataQueue) get data: Testing Msg
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:37 | Debug | SR | (Server): lose connection
2021-01-24 17:31:39 | Debug | FD | (DataQueue) get data: Testing Msg
2021-01-24 17:31:39 | Debug | SR | (Server): lose connection
2021-01-24 17:31:39 | Debug | SR | (Server): lose connection
2021-01-24 17:31:39 | Debug | SR | (Server): lose connection
2021-01-24 17:31:39 | Debug | SR | (Server): lose connection
2021-01-24 17:31:39 | Debug | SR | (Server): lose connection
2021-01-24 17:31:39 | Debug | SR | (Server): lose connection
2021-01-24 17:31:39 | Debug | SR | (Server): lose connection
2021-01-24 17:31:39 | Debug | SR | (Server): lose connection
2021-01-24 17:31:39 | Debug | SR | (Server): lose connection
2021-01-24 17:31:39 | Debug | SR | (Server): lose connection
2021-01-24 17:31:39 | Debug | SR | (Server): lose connection
2021-01-24 17:31:39 | Debug | SR | (Server): lose connection
2021-01-24 17:31:39 | Debug | SR | (Server): lose connection
2021-01-24 17:31:39 | Debug | SR | (Server): lose connection
2021-01-24 17:31:39 | Debug | SR | (Server): lose connection
2021-01-24 17:31:39 | Debug | SR | (Server): lose connection
2021-01-24 17:31:39 | Debug | SR | (Server): lose connection
2021-01-24 17:31:39 | Debug | SR | (Server): lose connection
2021-01-24 17:31:39 | Debug | SR | (Server): lose connection
2021-01-24 17:31:39 | Debug | SR | (Server): lose connection
2021-01-24 17:31:39 | Debug | SR | (Server): lose connection
2021-01-24 17:31:39 | Debug | SR | (Server): lose connection
2021-01-24 17:39:59 | Debug | SR | server socket init success
2021-01-24 17:41:10 | Debug | SR | get socket connection: 0
2021-01-24 17:41:13 | Debug | FD | (DataQueue) get data: 1
2021-01-24 17:41:15 | Debug | FD | (DataQueue) get data: 2
2021-01-24 17:41:17 | Debug | FD | (DataQueue) get data: 3
2021-01-24 17:41:19 | Debug | FD | (DataQueue) get data: 4
2021-01-24 17:41:21 | Debug | FD | (DataQueue) get data: 5
2021-01-24 17:41:49 | Debug | SR | get socket connection: 1
2021-01-24 17:41:57 | Debug | FD | (DataQueue) get data: 5555
2021-01-24 17:41:59 | Debug | FD | (DataQueue) get data: 1
2021-01-24 17:42:02 | Debug | FD | (DataQueue) get data: 8888
2021-01-24 17:42:04 | Debug | FD | (DataQueue) get data: 2
2021-01-24 17:42:06 | Debug | FD | (DataQueue) get data: 3
2021-01-24 17:42:38 | Debug | SR | (Server): free empty socket
2021-01-24 17:42:38 | Debug | SR | (Server): lose connection
2021-01-24 17:42:39 | Debug | SR | (Server): free empty socket
2021-01-24 17:42:40 | Debug | SR | (Server): lose connection
2021-01-24 17:42:42 | Debug | SR | (Server): lose connection
2021-01-24 17:42:45 | Debug | SR | (Server): lose connection
2021-01-24 17:42:47 | Debug | SR | (Server): lose connection
2021-01-24 17:42:49 | Debug | SR | (Server): lose connection
2021-01-24 17:45:46 | Debug | CL | (Client) connect to 127.0.0.1 1201
